,State,District,Toposheet,Name of the slide,NH/SH Locality,Latitude,Longitude,Length,Width,Height,Area,Depth,Volume,Run out distance,Type of Material,Type of Movement,Rate of Movement,Activity,Distribution,Style,Failure Mechanism,History,Geomorphology,Structure,Land useLand cover,Hydrological condition,Triggering Factor ,Death of Persons,People Affected,Live-stock loss,Infrastructure,Agriculture/forest/Barren,Remarks,Description,Landslide category,Date,Address,"Latitude,Longitude",Pin code
0,Tanmil Nadu,Niulgiri,58A/11,Emarald TNEB slide,"TNEB colony, Emarald, Kundah",11.320817,76.625373,10 m,90 m,7 m,80 m2,1.5-2 m,100 m3,180-200 m,Earth/ soil,Flow,Moderate,Suspended,Enlarging,Complex,Shallow rotational,6 th August 2020 (initiation),Moderately dissected slope,Indistinct,"Settlement, fallow land",Wet,Heavy rainfall,Nil,Nil,Nil,4 nos. of houses (TNEB quarters) fully damaged.,Agriculture,"This is a complex slide. Initiated as cut slope failure, then followed by soil/earth flow.","An earth flow has taken place in TNEB colony, Kundah, Nilgiris on 6th August 2020, leading to the total damage to 4 nos. of houses. the slide is a complex type, which initiated as cut slope failure and the subsequently leading to the earth slow. Ground cracks were observed in the close vicinity of the slide, with are indications of chances of future reactivation, if untreated. The slope forming material is mainly lithomargic clay/soil having a thickness of about 5-6 m. Suitable remedial measures in the form of benching ogf the slope, followed by provision of retaining wall with weep holes and lined toe drainage has been suggested for the slide.",II,,,,
1,Karnataka,Kodagu,48P/07,Talacauvery slide,Brahmagiri hills near Bhagamandala,"12° 23' 10.94"" N","75° 29' 37.00"" E",160 m,50 m,45 m,8000 m2,5 m,36000 m3,2 Km,Debris,Slide,Extremely rapid,Active,Retrogressive and Widening,Single,Deep planar failure,"he Talacauvery landslide occurred in 04 events. The landslide was earlier initiated on 30th June, 2007 leaving behind an old scar (Ist Slip face). Adjacent to the old scar, another slide initiated in the year 2018, developed the IInd slip face. The IIIrd slip face was developed after the reactivation of slide occurred on 09th August, 2019, followed by the reactivation on 06th August, 2020 and development of IVth slip face.",Lowly dissected hill slope,"Foliations trending WNW, dipping 30oNE","Bushes and sparse vegetation on upslope, while mid slope is modified by road cut and settlements.",Flowing,Intense and (or) sustained rainfall lead to the saturation of slopes and increased groundwater levels within the mass,"05 deaths. T.S. Narayanachar (70 yrs) (Talacauvery Temple Chief Priest), his wife Shantha Narayana (68 yrs), Shantha’s brother Anandathirtha Swamiji and relatives Ravikiran Bhat and Pavan Bhat.",Family of T.S. Narayanachar,5-6 cattle and a Dog,02 Houses and 01 animal yard on down slope buried under the debris.,Part of forest land is damaged,"Brahmagiri hills are in state of imbalance and it is advised to investigate the hill in terms of presence of any opening on upslope or mid-slope. Being a popular pilgrimage spot, the approach road to temple should be strengthen and supported by retaining structure on both side of road bench with proper lined drainage.","The debris slide is observed to have occurred on 06th August, 2020 at
02:30 am. The slide initiated on mid-slope as planar failure and the
saturated debris further graded down the slope collecting soil and debris
from upper areas. The saturated soil eroded the weathered rock and soil
down slope, below the road bench. The slide experienced multiple
reactivation and underwent four phase of events in different years; i.e.
during year 2007, 2018, 2019 and 2020.During landslide study in the year
2019, ground cracks and forest trenches were observed on mid-slope and
upslope. Cracks were forming curvilinear shape that indicated an initiation
of another slide. The facilitation of water to infiltrate into the slope along
the openings together with geological, geomorphologic and land use
pattern contributed to occur a massive landslide. The debris moves rapidly
down the slope, crossed the road and eroded the unconsolidated soil down
the road bench. The saturated debris gushed down the slope with high
speed and damaged the houses and cattle yard claiming 05 casualties. The
landslide debris and rock boulders are observed to have accumulated at the
road. Oversaturated weathered rock & soil is observed on the slope
corresponding to soil thickness > 10m. This thickly overburden material is
observed to comprise of hill wash and debris consisting of brown to
reddish brown, coarse-grained sandy matrix",I,,,,
2,Kerala,Idukki,58 F/04,Pettimudi,Eravikulam-KDH-Idamalakudi road,10.171695°N,77.011305°E,205 m ,30 m,125 m,6150 m2,3m,18450 m3,840m,Debris,Flow,Extremely rapid,Suspended,Retrogressive,Complex,: Shallow translational (≤ 5m) failure,6th August 2020 (22:30 hrs.),Moderately dissected slope. Landslide occurred in the southern flank slope of E-W trending Rajamala hill range and the material slid down towards south direction.,Causal plane dip about 57º towards N 88º. Foliation: N50°W- S50°E /34º  N Joints: J1 - N70°W- S70°E /72º  SW J2 - N10°W- S10°E /75º  W J3 - N45°E- S45°W /85º  SE J4 - N5°E- S5°W /35º  W,Forest area. The slide initiated from the forest area and the distressed material discharged through tea plantation located at the downslope.,Wet,Heavy Rainfall,66,82,Nil,Four layams (housing lines of tea garden workers) completely washed away and one along the runout path on the right flank flooded with debris material.,Settlement area with tea plantation,,"On 6 th August 2020, a massive landslide occurred at Pettimudi area near Munnar that resulted in the death of 66 persons along with huge property loss. Four persons are still missing in this event and 12 persons with severe injuries were rescued. This slide has occurred on the southern slope of the E-W trending Rajamala hill ranges in Pettimudi area which is having a relative relief of about 490 m. The landslide initiated from 10.171695°N latitude and 77.011305°E longitude and the distressed material discharged through the 1st and 2nd order streamlets for about 1403m to reach the main stream Anaimudi Ar at the down slope area. The event initiated as a planar failure at the contact between rock and overburden in the form of debris slide and then transformed into debris flow. The relatively thin (0.5-5m thick) slope forming material comprises soil, slope debris and weathered rock got supersaturated during incessant rain which in turn caused the built up of pore water pressure and simultaneous reduction in shear strength of the material. Carried out post disaster landslide investigation studies, evaluated the causative factors and all possible remedial / corrective measures were also suggested.",I,,,,
3,Manipur,Noney,83H/09,Longmai Slide,NH-37(Imphal-Jiribam road)/ Longmai,24°51‘ 19.3‘‘ N,93°37‘ 26.5‘‘ E,85m,60m,45m,,,,5m,Debris ,Slide,Slow,Active,Enlarging,Complex,Shallow planar failure,"Exact date of the occurrence of the slide is not known, however the
villagers narrated its initiation during the last week of June, 2020. ","The area is represented by highly dissected, rugged, NNE-SSW trending
alternate synclinal hill ridges and anticlinal valleys showing a 2nd order
topography. Landslide occurs at the eastern flank (hill slope of 45°
toward 130° at sliding zone) of NNE-SSW trending hill ridge. ","The highest portions of the slide expose thinly bedded shale beds with
attitudes of 65° towards 185° (southerly). ","The area is occupied by settlement with concrete and Assam type houses
and sparse vegetation",Flowing,Rainfall,Nil,"Enclosed details as received from the Noney District, Administration",Nil,"5 houses partially damaged. Enclosed details as received from the Noney
District, Administration",Settlement area of Noney township. ,,"The Longmai Slide occurred along the upslope of the NH-37, the ImphalJiribam road about 500 meters from Noney Bazar towards Imphal. The
landslide occured at the eastern flank (hill slope of 45° toward 130° at
sliding zone) of NNE-SSW trending hill ridge. Cracks in the concrete
house, the paved drain and the approached road are observed. It caused
subsidence of 40 cm in the crown portion of the slide and 60 cm in the
highway. Geoscientific causes include; Edge loading at upslope portion
of the slide, water flowing down from the upslope portion slow down at
the topographic break and make the materials at downslope
oversaturated due to water percolation, improper support indicated by
the presence of another break in slope at the middle part of the slope,
edge loading at the base road level (NH-53), lack of proper drainage
between the highway and upslope, tectonically active part along the
lineament that caused the Noney Earthquake, 2016. Remedial measures
are 1).Immediate sealing of the cracks in the upslope area of slide,
2).Repair of the affected houses for stability, 3). Removal of the debris
material along the highway side for proper drainage all along the
highway, 4). Geometrical modification of slope at suitable places of the
slope, 5). Prevention of water seepage near the approach road by
strengthening the paved drain, 6). Percolated breast wall along the
highway & 7) Earth filling and retaining wall for the highway",II,,,,
4,Manipur,Senapati,83K/02,Song-Song Village (Mao Gate),"NH-2(Imphal-Dimapur road), Mao gate town",25°30ˊ57.3ˊˊ,94°08ˊ11.5ˊˊ,85m,104m,82m,,,,,Debris,Rotational,Slow,Active,Retrogressive,Complex,Shallow rotational failure,"i. Recurring landslide along the east facing taxi stand and SDO office block as local
information from local source. Temporal Google-earth satellite images suggest major
landslide occur around 2006, constructed concrete retaining wall at the toe to the landslide
(2010), which was eventually got damage due to progressive landslide and moved downslope
along with the slide debris. 
ii. As per local source from the Chairman, Song-Song Village, there was a culvert that
drained the road side-line drainage to the slope on the eastern side of the NH-2 that was
sealed with concrete lining after the 2006 landslide.
iii. The building on the eastern side of the NH-2 has history of slight subsidence over the
past few years. The sudden subsidence with throw of about 1.5ft along the road (Photo 1 and
2) and developed pronounced cracks within concrete structure and widening of the cracks
between the road and structure (Photo 3) is reported during the month of June and July,
2020.
iv. The road side line covered concrete drainage (opposite western side of the landslide
crown) is not properly functional with stagnant water.
v. Concrete drainages were constructed to drain sewage water. At present, due to the
development of tensional cracks and subsequent subsidence of the eastern portion of the road
and parts of settlement areas. The surface water run-off is drained towards the eastern part
and water percolation is observed along the tensional cracks developed within the drainage
(Photo 4).
vi. The Assam type residential houses located at approximately between 15 to 40m below
the road bench shows back tilting (towards the crown road side) (Fig.3 and Photo 8) with
pronounced subsidence and cracks on the cemented floor of the houses and retaining wall.
The seepage of water from the ground has led to the accumulation of water inside the house
(Photo 9).

vii. The cracks developed at the crown portion have been sealed very recently. However
new minor cracks measuring around 0.5 to 1 cm wide are seen developing in the adjoining
areas of the already sealed part (Photo 5). At the present scenario, during the rains water
flows over the road (including the already sealed portion of the road and its adjoining areas)
and percolates downward through the newly developed cracks. ","Regionally, the area is represented by highly dissected, rugged, NNE-SSW trending
alternate synclinal hill ridges and anticlinal valleys showing a 2nd order topography. In the
disturbed area, the portion of the hill slope located towards the east of NH-2 shows three
prominent topographic break-in-slope i.e., very steep slope just below the road (60-70°),
moderate mid-slope break (30-35°) and steep slope towards the further north (35 to 60°)
joining the northeasterly flowing Pije River (Fig 4 ). ","(So/J1: 310°/23°SW, J2: 210°/70°SE and J3: 300°/70°NE). Eastern
limb of the anticline. J3 joint plane and slope dips in the same direction
within the sandstone above the NH-2. ",The landuse pattern on either side of the road is mostly used for commercial buildings with few residential houses. The eastern part immediately below the NH-2 where landslide has affected is mostly residential Assam type houses. The mid-slope break is mostly use for terrace agricultural farming by the natives. The gentle slope on the right flanks of the landslide is used for terrace paddy field agricultural use with moderately thick vegetation cover. The left flank is mostly covered with moderate vegetation cover (Fig 3).,"The study area around Mao (Song Song village) is drained by the Pije river, which
originates from the higher ridges above the TB hospital and Mao potato farm and drains
northeasterly. Small seasonal streams and gullies drains the excess surface water run-off
below the NH-2 flows northerly and joins the Pije River.
The NH-2 hillside lined concrete drainage opposite to the landslide crown is not
functioning properly as evident by the presence of stagnant water. The transient downward
percolation of water along the tensional cracks developed on the road and drainage is
observed. The heavy water seepage and water pooling is observed within the Assam type
residential houses which are back tilted 10-20° (Photo 9). At many places water seepage is
observed at the steep slope break (Photo 10). The irrigational water culvert drains (at places
open canal drain) across the body of the landslide and a small water pond being made at the
mid-slope along the strike of the landslide movement (Fig 3)",Rainfall ,Nil ,Commercial and Residential houses ,Nil ,"NH-2, Residential houses, Commercial concrete buildings Commercial
and Residential houses","Terrace agricultural farming along the mid-slope, moderately thick
vegetation cover along the flanks of the slope",,"The Mao landslide occurred along the road section of NH-2, causing subsidence of the
road posing immense threat to the vital road corridor and affecting the residential and
commercial buildings. Recurring landslide along the east facing taxi stand and SDO office
block is confirmed based on temporal Google-earth satellite images since 2006 to present. The
subsidence along the road with pronounced cracks and displacement within concrete structure
and widening of the cracks between the road and structure is reported during the month of June
and July, 2020.
The predisposing factors for the present landslide includes inherent geological contact
zone between the Disang (shale dominant) and Barial (sandstone dominant) group of rock,
which are highly jointed in nature. The topography of the area shows three prominent
topographic breaks in slope gradient and the mid-slope shows the old-landslide zone filled with
unconsolidated/semi-consolidated debris. The existing drainage system arrangement in the
landslide affected zone is not well maintained to drain the surface run-off. The construction of
heavy concrete commercial/residential structure on the steep road side may also have cause
static loading on the edge and construction of houses within the unconsolidated old-landslide
debris seems to be the major predisposing factor. The extensive transient water seepage along
the tensional cracks and penetrative rock planar fabric at the crown area and excess surface
water run-off seepage within the debris into the underlying the less consolidated debris of oldlandslide may have aggravate development of local hydrostatic pore pressure. Incessant rain
during the month of June and July, 2020 may have triggered land subsidence. ",II,17.07.2020,,,
5,Arunachal Pradesh ,Papum Pare ,83 E/12 ,Tigdo Slide ,"Yupia ‐ Potin Road, about 4 km from Doimukh 
town","27⁰ 08'4.9"""," 93⁰ 44' 36.5"" ",7 m ,16m, 10 m ,112 m2, 2.5 m ,280 m3,22m,Unconsolidated rock debris and sandy soil.,Debris,Sudden,Active,Confined,Single,Translation,,Rugged terrain with 38° slope ,"NE‐SW strike dipping toward NW. Slope angle 
38°  ",Human settlement and sparsely vegetated.,Wet,Rainfall,4,6,Nil,"One semi‐pucca house completely damage 
Near Doimukh town",Sparsely vegetated  ,,Attached ,II,,,,
6,Arunachal Pradesh,Papum Pare,83 E/12,Donyi Slide,"Near Jollang Road, 2.5 km east of Itanagar City","27⁰ 04'52.7""","93⁰ 36' 46.2""",10m,6m,15m,60 m2,1.5m,90m3,20m,Unconsolidated rock debris and sandy soil.,Debris,Sudden,Active,Confined,Single,Translation,New,Rugged terrain with 48° slope,NE-SW strike dipping toward NW. Slope angle 48°,Human settlement and sparsely vegetated.,Wet,Rainfall,1,,4,"
Near Itanagar city",Sparsely vegetated with open bamboo scrub,,Attached,III,26-06-2020,,,
7,Assam,Cachar,83 H/1,Kanakpur Slide,"Kanakpur Pt. III, Lakhipur, Joypur","24°55'15.5""","93°4'23""",60m,15m,40m,900 m2,2m,1800 m3,30m,Soil,Slide,Very Rapid,Active,Retrogressive,Single,Shallow translational,02.6.2020,Lowly dissected hill slope ,,Settlement with minor cut slope/ Sparse vegetation,Wet,Rainfall,7,1,"1 Goat, chicken and 12 ducks (as reported by DDMA officials).","One kuccha house with tin roof was buried under the slide material
claiming 7 lives (as reported by DDMA officials).",Forested,"The house which was buried under the slide material waslocated at the
toe portion of the slope.","The Kanakpur landslide which occurred on 2nd June, 2020 at 5:30 AM
claimed lives of 7 people and 1 person was injured. The house was
completely buried under the slide material destroying one tin roofed
kuccha house. The main rock types observed in and around the area is
highly weathered intercalated sequence of siltstone and clay belonging
to Surma Group of rocks. The non–cohesive sandy in-situ soil on over–
saturation by antecedent heavy rainfall and incision by drainages and
erosion condition on the slope led to downward movement of slope
forming material. Though the affected slope face could not be assessed
properly due to rainfall and thick slurry of slide material on the valley
portion during the time of investigation, it was interpreted that the
highly weathered siltstone and soil cover rested on an unfavorable
moderate steep angle valley dipping bedding plane and failed along the
overburden–clay bed interface. The interpretation was made taking into
consideration the slightly visible clay bed on the affected slope face.",II,06.06.2020,,,
8,Meghalaya,West Jaintia Hills,83C3,Iawmusiang Landslide - I,Iawmusiang Wahthanad,25°26′32.4″ N,92°11′40.1″ E,20m,20m,35m,400 m2,3m,1200 m3,40m,Debris,Slide,Rapid,Suspended,Confined,Single,Shallow translational,Initiated on 26th May 2020,Moderately dissected slope,S0: 95°/80°S; J1: 140°/60°E; J2: 55°/60°E,Settlement area with moderate vegetation,Wet,Rainfall,,,,Retaining wall collapsed,Forested downslope,"Unplanned domestic discharge from the houses are noticed
which will aggravate the risk of slope instability in future.","The landslide occurred in the residential area of Iawmusiang
Wahthanad of Jowai town, beside a flowing stream. The primary
triggering factor of the landslide is heavy rainfall. The Landslide
initiated on the modified steep slope which was constructed by
filled material. The construction is made on the highly
weathered quartz-mica schist rock as its foundation. The
landslide is triggered by the active toe erosion of the fill material
by the flowing stream.",,,,,
9,Meghalaya,East Khasi Hills,78O/14,Umjapung slide,Mawiong Umjapung,25° 37’ 12” N,91° 52’ 57.8”,20m,15m,10m,300 m2,3m,3000 m3,,Soil,Slide,Rapid,Active,Retrogressive,Single,Shallow Translational ,Last landslide occurred in 2013,Moderately dissected slope,,Settlement,Wet,Rainfall,,5,,House / Settlement area,Settlement area,,"Soil slide documented 50 m(approx) east of ShillongGuwahati highway caused by highly weathered and
weak slope forming material dominantly loose debris
and highly saturated soil which has been aggravated
by heavy incessant rainfall",II,,,,
