,Description,Date,location_description,Latitude,Longitude,Pin code
0,"1
 
| 
C
ompiled by 
GSI
 
 
Landslide Incidences for the year 201
5
 
 
 
 
 ",,.,0,0,
1,"Landslide incidence in Himachal Pradesh 

 
7 December 2015
 
 
A rock fall occurred along national highway NH
-
 

district Mandi, Himachal Pradesh on 7/12/2015 at about 0830 hrs. The location wher
e the incident 
occurred has been demarcated as Rock fall zone with a caution sign board by the local authorities. 
The slope is a rocky escarpment exposing numerous potential unstable rockmass. The rock fall 
initiated on 5/12/2015 by minor movement in upslo
pe and gradually triggered on 7/12/2015 by 
development of open cracks with crashing sound, emission of dust along with shooting stones as 
observed by the locals. The rock fall zone is still active and reactivated on 8/12/2015 early hours 
around 0130am (loc
al police source) and on 9/2/2015. GSI has carried out the preliminary 
investigation of the landslide on 8/12/2015 and prepared detailed inventory. ",07-12-2015,"Mandi, Himachal Pradesh, India",31.6723392,76.95331691,
2,"Landslide incidence in Jammu & Kashmir 

 
22 September 2015
 
 
As per media report , the Jammu Srinagar N
ational Highway was closed for vehicular traffic 
following massive landslides triggered by heavy rainfall. ",22-09-2015,"Jammu, Jammu District, Jammu and Kashmir, 180001, India",32.7185614,74.8580917,180001
3,"Landslide incidence in Mizoram 

 
27 August 2015
 
 
As per media report, heavy rains and landslides swept away three houses and damaged 
70 graves 
in two cemeteries in Aizawl Town of Mizoram. Heavy rainfall caused severe damage in different 
parts of the state as many district headquarters remained cut
-
off from Aizawl due to massive 
landslides on the roads. ",27-08-2015,.,0,0,
4,"Landslide incidence in Himach
al Pradesh 

 
18 August 2015
 
 
A major landslide was reported at the famous Sikh shrine Gurdwara Manikaran Sahib in Himachal 
Pradesh. According to reports, at least ten people have died after boulders fell on the Gurdwara 
Manikaran Sahib building due to the
 
landslide. ",18-08-2015,.,0,0,
5,"Landslide incidence in Manipur 

 
1 August 2015
 
 
As per media report, at least 20 people are feared dead after an entire section of the settlement of 
Joumol village was buried by a massive landslide and flood. ",01-08-2015,.,0,0,
6,"Landslide incidence in J
ammu & Kashmir 

 
26 July 2015
 
 
As per media report, the Srinagar
-
Ladakh highway and the Baltak road for Amarnath pilgrims got 
washed away at many places leading to massive blockages after landslides were triggered by 
cloudbursts in Kashmir. ",26-07-2015,"Srinagar, Srinagar (South), Srinagar District, Jammu and Kashmir, 190008, India",34.0747444,74.8204443,190008
7,"Landslide incidence in Himachal Pradesh 

 
25 July 2015
 
 
As per media report, incessant rains have caused massive landslides on National Highways 21 and 
22 in Shimla, Kinnaur, Mandi and Kullu districts, hampering vehicular traffic. ",25-07-2015,"Sabji Mandi, Navbhahar, Shimla, Shimla (urban), Shimla, Himachal Pradesh, 171001, India",31.1034086,77.175565,171001
8,"Landslide incidence
 
in Maharashtra 

 
19 July 2015
 
 
A massive landslide (rock fall) occurred near Adoshi tunnel near to Lonavala on the Mumbai
-
 
Pune 
Expressway killing three people travelling in a car. ",19-07-2015,"Pune Street, Wadi Bandar, B Ward, Zone 1, Mumbai, Mumbai City, Maharashtra, 400009, India",18.9560691,72.840292,400009
9,"Landslide incidence in Darjeeling district 

15
-
16 July 2015
 
 
On 15 
July , a landslide occurred in 6 Mile area in Kalimpong and caused damage to a house to 
collapse and the road. On 16 July again a landslide occurred at 14 Mile area, due to incessant rains, 
and damaged a portion of National Highway 55 in Kurseong subdivisi
on of Darjeeling district. ",16-07-2015,.,0,0,
10,"Landslide incidence in Darjeeling district 

 
1 July 2015
 
 
Over 40 people had died in the landslides in and around Mirik area of Darjeeling hills. GSI carried out 
details investigation of the landslide event. ",01-07-2015,.,0,0,
11,"Landslide incidence in Maharashtra 

 
22 June 2015
 
 
As per media report, at least 12 people are feared to be buried in the debris after three houses 
collapsed following a landslide in Dabhol village of Maharashtra's Ratnagiri district. The landslide 
report
ed to have occurred at 03.30 AM. ",22-06-2015,.,0,0,
12,"Landslide incidence in Arunachal Pradesh 

 
9 June 2015
 
 
As per media report, two people, including a minor girl, died while two others were seriously injured 
when their dwelling was hit by a landslide in Itanagar. ",09-06-2015,.,0,0,
13,"Landslide incidence in Jammu & Kashmir 

 
3 April 2015
 
 
",03-04-2015,"Jammu, Jammu District, Jammu and Kashmir, 180001, India",32.7185614,74.8580917,180001
